口 enclose
大 big
子 child
小 small
女 woman
你 you
好 good
请 please
问 question
什么 what
我 me
呢 question-particle
叫 called
先生 sir
姐 older sister
姓 surname
贵 honorable/expensive
么 question-particle
字 character
名字 name
朋友 friend
不 no
也 also
中国 China
北京 Beijing
纽约 New York
老师 Teacher
学 study
是 be
照片 photograph
这 this
爸 dad
妈 mom
个 common-measure-word
谁 who
他 he
她 she
男 male
弟 younger-brother
哥 older-brother
儿 son/child
有 have/exist
没 not
那 that
的 possesive-particle
孩 teach
一 one
二 two
三 three
四 four
五 five
六 six
七 seven
八 eight
九 nine
十 ten
〇 zero
